total_pnl_usd,avg_daily_pnl,daily_pnl_std,sharpe,calmar,max_drawdown,win_rate,n_steps,expiry_pnl,attribution,cycle,entry_spot,entry_iv
-2196.27,-13.07,380.21,-0.657,-1.049,-4553.78,0.6667,168,-3216.58,"{'delta_pnl': 974.78, 'gamma_pnl': -2567.53, 'theta_pnl': 2927.74, 'vega_pnl': 0.0, 'fee_pnl': -314.68}",1,50673.84403461141,0.8
-17394.34,-103.54,928.22,-2.132,-2.077,-18210.78,0.4821,168,-10986.88,"{'delta_pnl': -6509.45, 'gamma_pnl': -1396.69, 'theta_pnl': 1668.88, 'vega_pnl': 0.0, 'fee_pnl': -170.21}",2,54587.79159793188,0.787
-541.15,-3.22,302.51,-0.203,-0.424,-2774.53,0.5238,168,-2053.09,"{'delta_pnl': 2193.06, 'gamma_pnl': -2611.28, 'theta_pnl': 2215.36, 'vega_pnl': 0.0, 'fee_pnl': -285.2}",3,43665.947479971444,0.775
-2894.15,-17.23,372.06,-0.885,-1.528,-4116.99,0.5595,168,-3578.77,"{'delta_pnl': 389.68, 'gamma_pnl': -1289.91, 'theta_pnl': 1751.48, 'vega_pnl': 0.0, 'fee_pnl': -166.63}",4,46200.2259260062,0.859
709.18,4.22,221.13,0.365,0.544,-2834.26,0.7024,168,-1849.5,"{'delta_pnl': 1779.86, 'gamma_pnl': -2647.79, 'theta_pnl': 3772.12, 'vega_pnl': 0.0, 'fee_pnl': -345.52}",5,50019.31576893273,0.836
-17490.54,-104.11,922.14,-2.158,-2.117,-17963.36,0.4405,168,-10885.82,"{'delta_pnl': -6707.3, 'gamma_pnl': -1007.99, 'theta_pnl': 1249.89, 'vega_pnl': 0.0, 'fee_pnl': -139.32}",6,51968.853360084155,0.763
-25550.36,-152.09,1212.27,-2.398,-2.125,-26136.16,0.4583,168,-15563.45,"{'delta_pnl': -10149.95, 'gamma_pnl': -941.95, 'theta_pnl': 1230.59, 'vega_pnl': 0.0, 'fee_pnl': -125.6}",7,63274.739972167525,0.81
-14580.34,-86.79,769.69,-2.155,-2.138,-14827.47,0.4464,168,-9330.44,"{'delta_pnl': -5300.51, 'gamma_pnl': -1020.57, 'theta_pnl': 1196.18, 'vega_pnl': 0.0, 'fee_pnl': -125.01}",8,46867.84755646058,0.805
-7446.1,-44.32,555.12,-1.526,-1.59,-10178.57,0.5774,168,-6335.64,"{'delta_pnl': -1459.86, 'gamma_pnl': -2091.48, 'theta_pnl': 2686.69, 'vega_pnl': 0.0, 'fee_pnl': -245.81}",9,55998.59988298539,0.871
-1542.7,-9.18,275.04,-0.638,-1.054,-3183.21,0.5714,168,-2632.47,"{'delta_pnl': 1712.36, 'gamma_pnl': -2166.46, 'theta_pnl': 1789.52, 'vega_pnl': 0.0, 'fee_pnl': -245.65}",10,49811.92869058258,0.718
-10281.55,-61.2,619.86,-1.887,-2.164,-10331.92,0.4405,168,-7182.12,"{'delta_pnl': -3095.72, 'gamma_pnl': -811.19, 'theta_pnl': 913.72, 'vega_pnl': 0.0, 'fee_pnl': -106.25}",11,47395.985790595776,0.794
-7174.98,-42.71,526.47,-1.55,-1.849,-8434.92,0.494,168,-5965.32,"{'delta_pnl': -1199.56, 'gamma_pnl': -1801.4, 'theta_pnl': 2001.18, 'vega_pnl': 0.0, 'fee_pnl': -209.88}",12,54268.99955681331,0.836
-1503.73,-8.95,413.42,-0.414,-0.726,-4505.76,0.5417,168,-2954.11,"{'delta_pnl': 1215.51, 'gamma_pnl': -1650.45, 'theta_pnl': 2084.5, 'vega_pnl': 0.0, 'fee_pnl': -199.18}",13,48603.8937549984,0.854
3469.89,20.65,125.25,3.152,10.527,-716.63,0.6488,168,-632.5,"{'delta_pnl': 3039.13, 'gamma_pnl': -2927.56, 'theta_pnl': 4343.87, 'vega_pnl': 0.0, 'fee_pnl': -353.06}",14,51713.377581229266,0.893
-6372.68,-37.93,587.87,-1.233,-2.097,-6607.33,0.506,168,-5326.71,"{'delta_pnl': -841.71, 'gamma_pnl': -1190.16, 'theta_pnl': 1125.49, 'vega_pnl': 0.0, 'fee_pnl': -139.59}",15,52310.896040110405,0.765
-7317.74,-43.56,600.21,-1.387,-1.623,-9800.91,0.5357,168,-5978.37,"{'delta_pnl': -834.94, 'gamma_pnl': -2624.37, 'theta_pnl': 2422.49, 'vega_pnl': 0.0, 'fee_pnl': -302.56}",16,58065.4781837305,0.763
-791.73,-4.71,382.97,-0.235,-0.392,-4391.32,0.5595,168,-3451.14,"{'delta_pnl': 1523.94, 'gamma_pnl': -2465.91, 'theta_pnl': 3922.23, 'vega_pnl': 0.0, 'fee_pnl': -320.84}",17,63917.64249880562,0.908
782.27,4.66,278.7,0.319,0.442,-3846.66,0.6369,168,-2636.43,"{'delta_pnl': 2096.91, 'gamma_pnl': -3140.4, 'theta_pnl': 4874.6, 'vega_pnl': 0.0, 'fee_pnl': -412.4}",18,67368.40195136637,0.869
-8933.32,-53.17,688.23,-1.477,-1.851,-10490.74,0.5417,168,-7135.69,"{'delta_pnl': -1806.26, 'gamma_pnl': -1639.41, 'theta_pnl': 1856.27, 'vega_pnl': 0.0, 'fee_pnl': -208.23}",19,64028.79793277299,0.774
-3593.99,-21.39,468.69,-0.872,-1.075,-7266.34,0.6012,168,-4998.66,"{'delta_pnl': 830.28, 'gamma_pnl': -3098.05, 'theta_pnl': 4050.95, 'vega_pnl': 0.0, 'fee_pnl': -378.5}",20,70815.03508180678,0.855
-10495.26,-62.47,700.66,-1.704,-1.924,-11861.39,0.5238,168,-7773.12,"{'delta_pnl': -1874.79, 'gamma_pnl': -2876.73, 'theta_pnl': 2359.8, 'vega_pnl': 0.0, 'fee_pnl': -330.43}",21,66015.17339760701,0.732
3044.35,18.12,353.09,0.981,2.229,-2969.14,0.5714,168,-1615.99,"{'delta_pnl': 4930.55, 'gamma_pnl': -3462.58, 'theta_pnl': 3575.22, 'vega_pnl': 0.0, 'fee_pnl': -382.84}",22,73473.34371898674,0.82
-3623.39,-21.57,525.93,-0.784,-1.467,-5368.1,0.5179,168,-4775.25,"{'delta_pnl': 945.95, 'gamma_pnl': -2038.15, 'theta_pnl': 2513.57, 'vega_pnl': 0.0, 'fee_pnl': -269.51}",23,72648.01910122398,0.769
-14506.3,-86.35,962.79,-1.714,-2.05,-15385.31,0.4821,168,-10360.64,"{'delta_pnl': -4407.46, 'gamma_pnl': -1412.66, 'theta_pnl': 1852.75, 'vega_pnl': 0.0, 'fee_pnl': -178.28}",24,68275.33461505169,0.842
-28493.06,-169.6,1434.02,-2.26,-2.163,-28633.06,0.4821,168,-17318.45,"{'delta_pnl': -10949.32, 'gamma_pnl': -1131.52, 'theta_pnl': 1049.86, 'vega_pnl': 0.0, 'fee_pnl': -143.64}",25,78849.93895310568,0.718
-7792.01,-46.38,553.99,-1.6,-1.95,-8687.11,0.5655,168,-6259.37,"{'delta_pnl': -1249.61, 'gamma_pnl': -1995.07, 'theta_pnl': 1972.91, 'vega_pnl': 0.0, 'fee_pnl': -260.87}",26,62003.30040844557,0.72
-12971.74,-77.21,775.97,-1.902,-2.064,-13661.12,0.5,168,-8834.01,"{'delta_pnl': -4523.81, 'gamma_pnl': -1137.46, 'theta_pnl': 1688.98, 'vega_pnl': 0.0, 'fee_pnl': -165.45}",27,55198.00458080625,0.79
-4915.04,-29.26,506.71,-1.103,-1.385,-7718.02,0.4762,168,-5051.07,"{'delta_pnl': 286.8, 'gamma_pnl': -2485.32, 'theta_pnl': 2641.86, 'vega_pnl': 0.0, 'fee_pnl': -307.31}",28,62747.6467973913,0.792
-10407.89,-61.95,864.06,-1.37,-1.747,-12955.19,0.5417,168,-8231.94,"{'delta_pnl': -2594.8, 'gamma_pnl': -2327.16, 'theta_pnl': 3024.49, 'vega_pnl': 0.0, 'fee_pnl': -278.48}",29,68052.9258375984,0.837
5226.72,31.11,160.4,3.707,11.443,-993.03,0.619,168,-495.27,"{'delta_pnl': 4606.59, 'gamma_pnl': -4255.4, 'theta_pnl': 5907.18, 'vega_pnl': 0.0, 'fee_pnl': -536.38}",30,76252.010396784,0.821
-5743.65,-34.19,712.88,-0.917,-1.569,-7956.62,0.4702,168,-6029.58,"{'delta_pnl': 671.19, 'gamma_pnl': -2063.86, 'theta_pnl': 1913.48, 'vega_pnl': 0.0, 'fee_pnl': -234.89}",31,76300.57207627341,0.768
