expiry,T_yr,n_strikes,rmse_iv,rmse_ivpct,atm_vol,atm_skew,a,b,rho,m,sigma,lee_bound,arb_free
5JUL26,0.0033,5,0.0122,1.22,0.1811,0.7953,-0.04221,0.0403,0.4333,0.5234,1.1648,0.0578,False
6JUL26,0.006,15,0.18272,18.272,0.2202,-1.1995,-0.1365,1.8956,0.9012,0.3501,0.1665,3.604,False
7JUL26,0.0087,19,0.00495,0.495,0.3244,-1.1596,-0.34957,0.27053,0.2796,0.4304,1.3489,0.3462,False
10JUL26,0.0169,28,0.14162,14.162,0.3684,-0.8328,-0.04028,0.38084,0.8437,0.3675,0.2072,0.7022,False
17JUL26,0.0361,28,0.01515,1.515,0.378,-0.6068,-0.29897,0.34536,0.59,0.9009,1.0874,0.5491,False
24JUL26,0.0553,24,0.01251,1.251,0.3736,-0.4778,-0.4232,0.47961,0.6,0.9363,1.1206,0.7674,False
31JUL26,0.0744,72,0.08443,8.443,0.3749,-0.497,-0.01354,0.08629,0.2151,0.1688,0.2652,0.1049,True
28AUG26,0.1511,67,0.03422,3.422,0.3868,-0.349,-0.09747,0.19217,0.2509,0.3276,0.6266,0.2404,False
25SEP26,0.2278,60,0.03742,3.742,0.3923,-0.2992,-0.18739,0.25525,0.0098,0.1915,0.8521,0.2577,True
25DEC26,0.4769,76,0.05484,5.484,0.428,-0.1725,-4.00367,2.89419,-0.8093,-3.0429,2.4013,5.2366,True
26MAR27,0.726,79,0.05509,5.509,0.441,-0.1204,-3.47013,1.83779,-0.7048,-2.4445,2.7613,3.1331,True
25JUN27,0.9752,58,0.06929,6.929,0.4392,-0.0611,0.16347,0.17086,-0.8071,-0.1212,0.2092,0.3087,True
